RepeatId,GenerationId,popCount,aliveCount,totalCount,generations,treeDepth,nodeCount,leafCount,branching,subcloneTotal,subcloneSelect,clonalDiversity,treeBalance,meanDriversPerCell
177,0,1,55,457,1000,0,1,1,0,1,1,1,0,1
178,0,1,99,627,1000,0,1,1,0,1,1,1,0,1
179,0,1,62,526,1000,0,1,1,0,1,1,1,0,1
180,0,1,135,697,1000,0,1,1,0,1,1,1,0,1
181,0,1,117,676,1000,0,1,1,0,1,1,1,0,1
182,0,1,107,613,1000,0,1,1,0,1,1,1,0,1
183,0,1,135,737,1000,0,1,1,0,1,1,1,0,1
184,0,1,97,609,1000,0,1,1,0,1,1,1,0,1
185,0,1,97,573,1000,0,1,1,0,1,1,1,0,1
186,0,1,121,717,1000,0,1,1,0,1,1,1,0,1
187,0,1,87,589,1000,0,1,1,0,1,1,1,0,1
188,0,1,87,583,1000,0,1,1,0,1,1,1,0,1
189,0,1,131,630,1000,0,1,1,0,1,1,1,0,1
190,0,1,82,527,1000,0,1,1,0,1,1,1,0,1
191,0,1,132,659,1000,0,1,1,0,1,1,1,0,1
192,0,1,68,528,1000,0,1,1,0,1,1,1,0,1
193,0,1,78,588,1000,0,1,1,0,1,1,1,0,1
194,0,1,104,641,1000,0,1,1,0,1,1,1,0,1
195,0,1,74,549,1000,0,1,1,0,1,1,1,0,1
196,0,1,75,601,1000,0,1,1,0,1,1,1,0,1
197,0,1,86,510,1000,0,1,1,0,1,1,1,0,1
198,0,1,181,812,1000,0,1,1,0,1,1,1,0,1
199,0,1,126,669,1000,0,1,1,0,1,1,1,0,1
200,0,1,86,527,1000,0,1,1,0,1,1,1,0,1
201,0,1,177,801,1000,0,1,1,0,1,1,1,0,1
202,0,1,57,444,1000,0,1,1,0,1,1,1,0,1
203,0,1,118,655,1000,0,1,1,0,1,1,1,0,1
204,0,1,98,625,1000,0,1,1,0,1,1,1,0,1
205,0,1,97,562,1000,0,1,1,0,1,1,1,0,1
206,0,1,101,616,1000,0,1,1,0,1,1,1,0,1
207,0,1,66,519,1000,0,1,1,0,1,1,1,0,1
208,0,1,80,578,1000,0,1,1,0,1,1,1,0,1
209,0,1,87,543,1000,0,1,1,0,1,1,1,0,1
210,0,1,80,563,1000,0,1,1,0,1,1,1,0,1
211,0,1,77,514,1000,0,1,1,0,1,1,1,0,1
212,0,1,107,607,1000,0,1,1,0,1,1,1,0,1
213,0,1,93,623,1000,0,1,1,0,1,1,1,0,1
214,0,1,53,497,1000,0,1,1,0,1,1,1,0,1
215,0,1,86,517,1000,0,1,1,0,1,1,1,0,1
216,0,1,165,796,1000,0,1,1,0,1,1,1,0,1
217,0,1,155,738,1000,0,1,1,0,1,1,1,0,1
218,0,1,66,463,1000,0,1,1,0,1,1,1,0,1
219,0,1,71,565,1000,0,1,1,0,1,1,1,0,1
220,0,1,114,614,1000,0,1,1,0,1,1,1,0,1
221,0,1,83,511,1000,0,1,1,0,1,1,1,0,1
222,0,1,70,457,1000,0,1,1,0,1,1,1,0,1
223,0,1,112,658,1000,0,1,1,0,1,1,1,0,1
224,0,1,103,566,1000,0,1,1,0,1,1,1,0,1
225,0,1,93,534,1000,0,1,1,0,1,1,1,0,1
226,0,1,95,724,1000,0,1,1,0,1,1,1,0,1
227,0,1,47,470,1000,0,1,1,0,1,1,1,0,1
228,0,1,65,567,1000,0,1,1,0,1,1,1,0,1
229,0,1,129,643,1000,0,1,1,0,1,1,1,0,1
230,0,1,75,478,1000,0,1,1,0,1,1,1,0,1
231,0,1,165,791,1000,0,1,1,0,1,1,1,0,1
232,0,1,100,590,1000,0,1,1,0,1,1,1,0,1
233,0,1,89,600,1000,0,1,1,0,1,1,1,0,1
234,0,1,109,629,1000,0,1,1,0,1,1,1,0,1
235,0,1,122,584,1000,0,1,1,0,1,1,1,0,1
